Id_Interview;Thème;Interview
1;Remarques;Une forte influence de l’actualité dans le choix des critères
2;Remarques;D’autres critères ont été cités même si pas classé, notamment la question de la mobilité douce (qui n’est pas présente à Ajaccio et qui pourtant sa non-présence dégrade la qualité de vie), la transparence et l’accès à l’information (mais a regroupé avec l’accès au réseau) 
3;Remarques;Une des participantes a grandi au village et voulait absolument habiter en ville car elle a souffert du manque de proximité géographique avec tous les services qu’offre la ville  
4;Seécurité;Peu impactés en Corse même si certains quartiers y sont sujets et que c’est de plus en plus développé 
5;Seécurité;C’est un critère déterminant dans le choix de l’habitation car cela peut nuire à la qualité de vie?: «?C’est quelque chose sur lequel je pourrais choisir mon logement, voire mon lieu de résidence?»?, «?Moi j’aurais pas fait un choix de vie dans un endroit où je me sentirais pas en sécurité, ça c’est clair?»  
6;Sécurité;Critère qui fait partie de la base de la pyramide de Maslow
7;Sécurité;Avoir vécu en dehors de la Corse a fait se rendre compte à beaucoup des participants du climat sécuritaire qu’il existe en Corse?: «?Quand j’étais à Nice, je me suis fais prendre mon sac dans la voiture, en car-jacking, et là je me suis rendue compte qu’à Ajaccio je circule jamais en ayant la voiture fermée, verrouillée?[…] je me pose pas du tout la question de la sécurité »
8;Sécurité;Plusieurs participants constatent en revanche que ce climat sécuritaire se dégrade, même en ayant pas forcément eu de mauvaises expériences mais en écoutant leur entourage, et en se projetant sur du long terme, mais aussi pour une participante plus âgée qui fait la remarque que comparé à ce qu’elle a connu avant, cela s’est beaucoup dégradé.
9;Sécurité;La localisation du logement joue beaucoup dans ce critère?: «?vous vous êtes centraux sur la ville, dans un endroit super sécurisé mais si tu commences à sortir un petit peu ... sur les périphéries ça devient un peu comme sur le continent?»?, «?En fonction du lieu de vie, en fonction d’où on habite à Ajaccio on le ressent plus ou moins?»  
10;Sécurité;Les critères «?acquis?» ne viennent pas instinctivement dans le choix lors de la construction de la pyramide?: «?Je me sens vraiment en sécurité donc ça m’a pas effleuré de le mettre?»?, «?On l’a pas mis parce que pour nous c’était une évidence qu’à Ajaccio c’était super secure?»   
11;Sallubrité;Si tu as pas ça tu manges pas bien, tu ne peux pas profiter des espaces verts  
12;Sallubrité;Les problèmes de pollution de l’eau sont importants car peuvent impacter l’accès à l’eau potable et donc la qualité de vie  
13;Pollution air;Un meilleur réseau de transports en commun, avec des P+R permettrait que les gens n’aillent pas dans le centre-ville en voiture et donc moins de pollution de l’air.
14;Réseau et télécom;À Ajaccio pas trop de zones blanches mais y a des endroits où y a encore une très mauvaise couverture du réseau.
15;Réseau et télécom;Plusieurs participants sont en télétravail à temps plein donc c’est absolument nécessaire d’avoir une bonne connexion réseau 
16;Réseau et télécom;Un critère qui peut contraindre un lieu de vie «?Pendant le covid, là avec les enfants, j’aurais été mieux au village, mais comme je travaillais via le télétravail, je n’ai pas pu aller au village?» => quand le réseau n’est pas suffisant ça empêche la possibilité de vivre dans certains endroits.
17;Condition météo;N’est pas forcément concerné mais s’est projeté en dehors de son territoire de vie pour s’imaginer s’il pourrait vivre là et les conditions météos étaient importantes dans cette projection  
18;Condition météo;Même si ce n’est pas un territoire particulièrement concerné par les catastrophes naturelles, ce n’est pas impossible que ça arrive (proximité de la mer) et il y a déjà eu des tempêtes, des tornades.
19;Condition météo;Un critère qui pourrait être de plus en plus important dans l’avenir avec le changement climatique et des endroits dans la ville qui avant n’étaient pas inondables mais avec la bétonnisation le sont devenus.
20;Condition météo;Si des problématiques trop intenses se posent dans l’avenir, un des participants n’hésiterait pas à déménager «?s’il fait 50 degrés, 300 jours par an, si j’ai les moyens je bouge?» => question d’acceptabilité de la situation jusqu’à une certaine limite.
21;Pollution sonore;Aussi une projection car n’est pas concerné mais c’est en discutant avec quelqu’un qui vit au-dessus d’une boite de nuit qu’il s’est rendu compte que vivre dans un endroit calme c’est important (tirer du parti du vécu d’autres personnes) 
