Id_Interview;Thème;Interview
1;Diversité et proximité des commerces ;il en manque mais on en a beaucoup aussi. Le plus important, la relation avec les gens. Un gros manque?: pharmacie. La plus proche est à 30km?: Sainte Marie. Accessibilité aux personnes à mobilité réduite (personnes âgées, handicaps). le plus important?: épiceries. Le supermarché le plus près = Ajaccio. Santé (médecin, kiné). Pompiers aussi c’est important.  
2;Conditions météo et catastrophes naturelles ;de plus en plus, pluie et vent. Impacte sur les appareils (ordinateurs, téléphone), ruptures dans énergie. Sécheresse l’été. village?: dépendance / isolement. «?si on a un problème pour réparer, il faut qu’ils montent d’Ajaccio?». peut-être aussi la galère pour circuler à cause de la neige.
3;Environnement;Pas assez de contenères pour faire le tri. Importance de Gaston (employé communal qui nettoie le village). Permet de que le village soit tout le temps propre.  
4;Espace Rencontre;important d’en avoir dans le rural. On en a?: centre aéré, médiathèque, musée, crèche, les bars, les supermarchés, le CINTU (espace de loisir et de travail). Vie de village et proximité. «?Le platane, où tout le monde se rencontre?» avec un banc, au centre du village.  
5;Réseau;On a la VDSL, c’est presque du haut débit. Si on avait la fibre, ce serait mieux. Rien que pour faire nos ateliers, pour faire les papiers, les impôts, pour les prises de rendez-vous… pour l’école, les cours en visio, le travail. Faire les courses par internet.
6;Environnement;fleuve souvent ocnsidéré comme pollué, parce que stations d’épuration ne sont pas aux normes, ne fonctionnent pas. Interdiction à la baignade tous les étés. Propreté des lieux, on aimerait que notre rivière soit propre. + environnement pollué. Tout le monde boit l’eau du robinet ici. c’est important aussi pour la santé. Cozzano?: le réseau d’eau et le bassin d’eau a été refait. L’eau, tout le monde la boit. + les fontaines. «?il faut que ça reste ça?»
7;Environnement;A Cozzano, on produit plus qu’on ne consomme. Fierté. Energie renouvelable. On peut être fier de tout ce qui a été fait. «?on sort du lot?». 
8;Relation de voisinage et vie de quartier;on se connait tous. Nécessité de maintenir des bonnes relations.  
9;Proximité commerce;pas à fond, parce qu’il en manque. Il pourrait y avoir une maison de retraite, une pharmacie… plus y en a, mieux c’est. Un car de transport pour aller à Ajaccio. Avant, on avait un car qui descendait jusqu’à Ajaccio. La personne est décédée, il n’y a pas eu de reprise pour le moment. On a des gites. Si y en avait plus, ce serait mieux. Il n’y en a pas beaucoup. D’autres spécialistes, une maison de santé, ce serait chouette. C’est prévu. «?Mais qui est le médecin qui va vouloir monter ici???»  
10;Météo;Plutôt négatif, tout le monde. Mais est-ce qu’on en souffre?? oui mais quand le réseau part, il part pour 6 mois. Ou bien quand la route est inondée, tu as les pieds trempés. Ou quand il neige, on n’est pas tout le temps déneigé. On appelle ça une pelle à main, hein Alex. Une différence selon où on habite. Ils déneigent les secours. Oui mais pour ceux qui veulent aller faire les courses. Après, on n’a pas de grosses inondations. On a des éboulements. Peut-être des lieux pas sécurisés. 
11;Environnement;On est bon. Manque de suivi dans les mesures / smart village. On l’a le suivi. Le montre mieux aux gens. Mieux communiquer.  
12;Réseau;Des coupures. Mais on n’a pas à se plaindre. C’est quand même lent, VDSL. A la poste, ça ne marche pas bien. A la médiathèque non plus. Idem SPAR, proxy. Pouvoir regarder des films, Netflix. Tout le monde utilise internet, pour les réseaux sociaux. Il y a des gens qui font du télétravail, notamment au moment du covid. Le problème?: le réseau. Faut pas faire le TT en hiver, quand il pleut ou quand il neige. Pourrait empêcher des actifs de s’installer au village. «?Pour s’installaer au village, il faut vraiment aimer le village, parce que la personne qui vient de la ville et qu’il reste ici le pauvre.?» «?le pauvre il va faire deux randonnées et ensuite il va déprimer?» «?moi je ne me verrai pas vivre à l’année à Cozzano. Je suis trop loin de la ville?» à lié à vie sociale. N’est pas d’ici, son copain oui. Des choses à faire ici, mais un peu loin.  
13;Emploi;Village pourrait attirer de nouvelles populations, mais problème c’est l’emploi. Si tu  n’es pas à l’école, tu fais quoi?? à moins de faire deux jorus de TT. Certains le font, comme herveline, ou Mme Pantalacci… c’est dur quand même. On n’aurait été à une demi-heure du village (comme Sainte Marie), on aurait eu plus de monde qui aurait fait l’aller retour. «?oui mais est-ce qu’on ne serait pas devenu un village dortoir comme Grossetto???» 282 habitants au village. Aimeraient avoir plus de monde. Beaucoup de gens qui viennent le week-end, ou aux vacances. Un village qui vit?: beaucoup de jeunes qui ont repris le trzvail des parents. Pour travailler ici, il faut créer sa propre activité?? quel type de travail?? agricole, manuel. «?oui mais pour les garçons, et pour les filles???» idem caserne?: compliqué de trouver des gens s’ils ne sont pas d’ici. localisation et marché de l’emploi sont des facteurs qui peuvent freiner la venue de nouveaux habitants.  
14;Logement;Oui le logement est aussi compliqué, mais c’est compliqué partout. Rural ou ville. Limite, ce serait plus simple de se loger au village. Ils trouveront quelque chose, soit un terrain à achter, soit une maison à louer, à acheter. Il y en a des personnes qui viennent s’installer, des continentaux. Mais pour y vivre, pas pour résidence secondaire. «?on est sociable quand même?» s’intègrent assez facilement. Plein d’activités qui font que c’est assez facile de s’intégrer. Tant que c’est des gens qui travaillent, qui sont respectueux. Aller au bar, boire du pastis, chanter… le mieux pour s’intégrer c’est d’aller au bar. Foire (trois jours de fête), un loto, sorties vélo…  
