Id_Interview;Thème;Interview
1;Relations de voisinage et de vie de quartier;ne veut pas qu’il y ait de guerre, aimerait que certaines tensions s’apaisent. Note une différence, une dégradation entre les relations de voisinage et avant (sûrement des conflits mais pas vraiment explicité durant l’atelier) mais ça y est encore tout de même. Cela fait partie de la diversité de la communauté, où tout le monde doit faire des efforts pour une bonne entente. Avoir une bonne entente est essentiel.
2;Conditions de mobilité et mobilité douce?;évoque l’entraide vis-à-vis des déplacements qui peuvent être fait, ex?: aller chercher des médicaments à la pharmacie pour les personnes plus âgées, pour les emmener à la poste, ils sont souvent sollicités. Il y a un problème de mobilité, notamment pour les personnes âgées qui pour certaines ne peuvent pas prendre la voiture => aimeraient que se développe un réseau de transport en commun ou de navettes pour faciliter le déplacement de la population. Mais d’un côté voit ça aussi comme un service rendu, ce n’est pas vraiment une contrainte pour les plus jeunes. Existe un service de navette mais qui ne fonctionne pas car mal organisé et pas récurrent (pas de jours attitrés, il faut appeler etc.). Est évoqué aussi le fait que les habitants ne sont pas forcément habitués à prendre les transports et donc participe au fait que le service ne se développe pas. Idée de faire ce service de mobilité à l’échelle intercommunales entre les principaux villages
3;Recyclage;n’est pas bien en place sur la commune car apparemment pas assez de débit donc pas de bornes de recyclage disponible ce que regrettent l’ensemble des participants. S’il y avait plus de poubelles de tri, ils le feraient bien plus. Evoquent les sacs de tris mais cela ne s’est jamais fait. La population est de plus en plus sensible mais le service ne suit pas. Mais quand même des efforts sont faits. Les participants sont très sensibles à l’environnement et à la protection de la nature car cela fait partie de la qualité de vie. 
4;Qualité et situation géographique du logement;ils sont dans un village, ils considèrent qu’il faut être bien installés et avec des logements confortables. En termes de situation géographique, ils se considèrent à la fois comme loin et près de tout. Déjà ce sentiment d’éloignement varie selon l’âge et la facilité de mobilité dont on dispose. Être dans un petit village induit l’importance d’avoir des bonnes relations entre habitants et de s’entraider. Des bonnes relations de voisinage pallient d’une certaine façon le manque de services et de commodités de proximité. Ils s’appuient beaucoup dessus car «?si y a pas de relation on a rien. On peut avoir des navettes, des tout ce qu’on veut, s’il y a pas de relations sociales on fait rien?». Evoque le Covid et la baisse du côté social, ça a fortement pénalisé la vie du village, importance de se réunir, de discuter.  
5;Internet;très important car sont loin donc important notamment à cause de la dématérialisation de beaucoup de services mais aussi de l’accès au divertissement. Actuellement la qualité de l’internet est assez mauvaise et c’est évoqué par plusieurs participants comme problématique et certains ont déjà entendu par d’autres personnes que si le débit était mieux ils viendraient s’installer au village. Il y a aussi une participante qui évoque le fait qu’en cas de coupure de la ligne fixe ou d’internet cela peut être un problème si jamais il y a un problème pour prévenir quelqu’un et que ça l’inquiète, ce à quoi plusieurs participants sont d’accord. 
6;Diversité et proximité des services;est important. Vu la localisation il y a une obligation de se déplacer même si certains services sont présents notamment de façon ambulante. La nécessité de la proximité de certains services dépend aussi beaucoup de l’âge?: «?pour l’instant ça me dérange pas, mais on verra dans quelques années?». Cependant ce n’est pas le critère qui est le plus revenu.  
7;Vie sociale;Dans la mixité il y a aussi la mixité entre les personnes corses et qui ne le sont pas. Il faut être très accueillant avec les gens qui sont pas corses. «?Celui qui habite en Corse, j’estime qu’il est Corse, pas de différence?». Il y a aussi un plaisir de transmettre aux nouveaux arrivants et aux enfants la culture Corse ainsi que les histoires familiales, le patrimoine historique. Transmission également des jeunes vers les anciens de la modernité. Attention, cependant les nouveaux arrivants (qu’ils soient corses ou non) doivent cependant s’intégrer à la vie de village, soit actif dans l’animation du village et ne pas rester à l’écart. Par exemple contre les lotissements car ça ferme, préfèrerait rouvrir des maisons au village?: «?ce n’est pas de l’attractivité pour être de l’attractivité. C’est de l’attractivité modérée?». Une des participantes qui est justement arrivée au village en n’étant pas d’origine explique y avoir été très bien accueillie.  
8;?Culture;a été sélectionnée uniquement dans le groupe dont un des membres était une «?nouvelle arrivante?» et ce choix s’est fait principalement vis-à-vis des enfants car beaucoup d’aller-retour pour leurs activités sportives et de loisirs. Il y a un manque de structures pour les enfants et aussi un peu pour les enfants. Même si la carte n’a été sélectionné qu’une fois, au final c’est un des sujets qui a été le plus discuté durant l’échange autour de la construction des pyramides.
9;Proximité espace verts;Un couple de retraités qui a habité pendant longtemps sur la région parisienne a choisi de revenir à Guargualé (dont le mari est originaire) notamment pour le cadre de vie?: «?Ajaccio c’était rédhibitoire?: le bruit, le monde, la voiture, la chèreté de la vie?». Ce qui a fait la différence c’est aussi la possibilité d’avoir des relations sociales.  
10;Situation géographique;L’ensemble des participants a classé très positivement la commune sur ce critère. Il y a cette question de centralité de localisation de la commune qui est évoqué, avec le fait qu’ils soient à la fois loin et proches d’Ajaccio et des autres villes environnantes. Cependant la plupart retiennent plutôt l’éloignement comme quelque chose de positif car ils n’ont pas tous les inconvénients liés à la ville comme la pollution, le bruit. Et au contraire, ils sont à une demi-heure de tout. Le coût financier des déplacements est évoqué comme une raison par plusieurs participants pour ne pas mettre une note maximum mais cela n’influence que très peu en généralité. La tranquillité, le lien social, le fait de pouvoir se déplacer à pied est bien plus important. Ils se sentent vraiment au bien au village et c’est ce qui compte le plus. En termes de qualité c’est parfait mais des petits points négatifs quant à la localisation. Cela demande une organisation mais la notion de sentiment de «?repos?» au village est évoquée plusieurs fois?: «?en fait je me sentais mieux, même si j’étais fatiguée en faisant le vas et viens, en arrivant chez moi qu’à Ajaccio?».  
11;Critère sociale culturelle;Le classement est quasiment unanime sur ce critère, où la commune est positionné toujours dans le positif mais quand même moins que le premier. Cela peut paraître un peu étonnant aux premiers abords car c’est un critère qui est systématiquement revenu dans les pyramides. L’avis est plutôt mitigé selon les participants, avec certains qui trouvent que c’est bien et qui s’entendent avec tout le monde mais d’autres évoquent le manque de jeunes entre 15 et 25 ans, avec un grand écart générationnel. Une participante évoque le fait que dans certaines familles qui vivent au village il y a des membres qui ont 25 ans mais qui eux ne vivent pas au village et elle exprime le souhait que ces jeunes-là reviennent plus souvent au village, s’investissent plus dans la communauté mais peut comprendre qu’Ajaccio est plus dynamique et correspond plus à ce qu’ils attendent. Une autre participante est assez critique quant au lien intergénérationnel?: pour elle il n’y a pas assez de mélange entre les jeunes et les plus anciens, les gens se fréquentent beaucoup par tranches d’âge, ce qui n’était pas forcément le cas il y a des années en arrière. Elle regrette ce manque d’échange qui était beaucoup plus présent dans sa jeunesse, où c’était l’affinité qui comptait plus que l’âge. Pour elle, l’échange entre les générations permet une transmission des savoirs et regrette que cela ne soit plus autant le cas.  Au contraire, une autre participante (plus jeune) répond à cette remarque en précisant qu’elle a plus de facilité à se confier sur certains sujets et problématiques à des gens de son âge et qu’elle ne ressent pas autant le manque de liens intergénérationnels. Il y a vraiment une différence de ressenti selon l’âge des participants. Il y a un constat d’un changement de générations où la perception des liens n’est pas le même?: «?la jeunesse de maintenant pense pas la même chose que nous quand on était jeune au même âge?». Le sentiment d’entre-aide et de partage est moins présent selon certains participants plus âgés tandis qu’il ne l’est presque pas par les plus jeunes.
12;Proximité commerce;Critère où le classement est le plus mitigé, même si en majorité assez positif, malgré peu de services présents de façon permanente.  Un participant qui a beaucoup voyagé et a habité sur le continent est «?réaliste?» quant au manque de commerces et de services car il a conscience qu’il en manque un certain nombre au village, cependant c’est le propre d’un village et donc ça fait qu’il ne le classe pas très négativement vis-à-vis de ça. Ça serait à développer mais a conscience que ce n’est pas évident, il évoque précisément les magasins de bricolage et d’outillage, ainsi que l’accès à des restaurants proposant des cuisines différentes. La possibilité de commander et de se faire livrer est évoquée par plusieurs participants. 
