Id_Interview;Thème;Interview
1;;35 ans. Je suis originaire de Lozzi par mon père et avec mon associé on a commencé de façon très amateuriale à l’hiver 88. On commençait les châtaignes, on faisait un peu de farine et on s’est aperçu qu’il y avait quelque chose à faire dans une dimension professionnelle. Moi j’ai fait une licence de Corse tout en travaillant et depuis ce temps-là on est toujours là. Les exploitations agricoles comme on a nous ça n’existait pas. Ce n’était pas de l’agriculture comme on la raisonne aujourd’hui. On faisait plus de farine de châtaigne à Lozzi depuis je pense une cinquantaine d’années quand on s’est lancé. On a remis en place des choses?: on a utilisé des outils collectifs qu’il y avait au village comme le four à pain qui servait au stockage des châtaignes, on a demandé aux gens autour de nous ... il y avait des gens qui se souvenaient, mais il n’y avait pas une pratique très élaborée de la chose. Après ça c’est Lozzi et le Niolu, en Castagniccia il n’y a jamais eu de rupture. A Lozzi il y a eu une rupture totale de l’entretien de la châtaigneraie, l’élevage porcin pas du tout maîtrisé. Il n’y avait pas du tout de valorisation de la châtaigne jusqu’à ce qu’on arrive nous.  
2;;Oui après ce qui est moins génial c’est que 35 ans plus tard on est toujours que tous les deux à faire ça, on n’a pas trop suscité de vocation autour de nous.  
3;;Oui c’est dur, mais quand on est jeune et qu’on a envie de faire des choses c’est moins dur. On a eu la chance d’avoir nos parents qui nous ont soutenus financièrement, on gagnait pas beaucoup d’argent et on remettait tout dans le pot commun pour le matériel. Mais on a fait notre vie, on s’est mariés, on a eu des enfants ... Moi j’ai 53 ans aujourd’hui et je ne regrette pas du tout mon choix de vie. Je suis émerveillé tous les jours de l’endroit où j’habite, et ce qui est pas normal c’est qu’on soit si peu nombreux. Après qu’on soit pas 150 d’accord, mais qu’on soit que tous les deux toujours au bout de 35 ans. D’autres on les aurait soutenus, on aurait partagé notre expérience, nos outils, on a pas eu l’occasion de le faire ou très rarement. Plutôt dans d’autres secteurs.  
4;;Alors j’ai fait mes études tout en habitant à Lozzi. Je suis né en Bretagne, mon père était militaire, je suis né dans le Morbihan et j’ai grandi tout près d’Avignon parce que ma mère est originaire du Gard dans un village – Beaucaire – puis je suis en rentré en sixième dans un collège à Calvi car mes parents sont rentrés dans une agence qui s’appelle le Falazorme qui est dans le Niolu derrière la plaine de Galéria. Vers Calvi, fin vers la Balagne. Il n’y a pas de routes qui communiquent mais il y a des routes par montagne, donc les gens de Lozzi et du Niolu en général, sont aussi originaires de cette autre microrégion. Mon père son objectif c’était de faire ça. Il a fait une toute petite carrière militaire et à 40 ans il a pris sa retraite. Ma mère était un peu plus âgée, elle avait trois enfants mais fin bref, elle a réussi à prendre sa retraite à peine plus tard. Donc on est rentrés en Corse à ce moment-là. Quand j’ai eu mon bac je suis parti à la fac à Corte et je me suis installé à Lozzi à cause de la proximité ... j’allais au village tout le temps?: pendant les vacances, chez ma grand-mère, j’ai toujours eu ce lien avec le village. Ma résidence était plutôt la commune de Galéria. Et cette année-là donc en hiver 88, je me suis installé dans la maison familiale à Lozzi. J’ai eu ma licence un peu pour faire plaisir à ma mère, ça me déplaît pas parce que ça m’a quand même appris des choses, ça m’a créé un relationnel que j’ai encore aujourd’hui dans ce milieu-là, mais je l’aurais pas eu je pense pas que je serais quelqu’un de très différent aujourd’hui.  
5;;Non parce que j’avais même pas 19 ans quand j’ai commencé cette activité, après ça a fonctionné et il était plus question d’arrêter. Depuis d’une année sur l’autre on est toujours là et Lozzi c’est un vrai choix de vivre ... Parce qu’au départ quand je suis rentré à la fac, six mois avant de commencer ce métier je l’aurais pas parié moi-même que j’allais faire ça. Mon objectif c’était de rentrer dans l’enseignement, de faire du Corse, d’être prof de Corse à la sortie. J’ai très vite déchanté parce que ce que j’ai trouvé à la fac ça m’a pas forcément passionné et en plus parallèlement il y a eu cette proposition de mon associé et j’ai foncé là-dedans.  
6;;Il y a le Niolu, la vallée du Niolu avec les cinq communes même si j’étais vraiment ... Si on dit vraiment la vérité c’est Lozzi. Après pour aller voir le médecin ... nous on a le médecin à Calacuccia, le village en dessous. On a une pharmacie, un Proxi ... je fais pas toutes mes courses à Proxi bien sur parce que ça serait trop cher mais j’y vais quand même régulièrement. Il y a deux boulangeries, il y a une station-service, des cafés... en fin bref, on peut avoir une vie sociale et même économique. Il y a plein d’endroits en Corse où il y a pas de station-service, de pharmacie ou encore de médecin. Les gens ici par exemple dans le Boziu ils sont obligés de venir à Corte, alors c’est pas très loin mais nous on est à 5 minutes d’un médecin, ce qui est purement miraculeux. Parce que je pense qu’il y a des régions en France beaucoup plus peuplées, et beaucoup plus grandes, où il a des déserts médicaux. Nous on connaît pas ça. Là le médecin s’en va, on en a visiblement trouvé un autre, alors là actuellement c’est un médecin qui vient de Roumanie, qui a signé 5 ans parce que les conditions économiques étaient bien plus intéressantes là qu’en Roumanie, mais aujourd’hui il a d’autres opportunités donc il s’en va. Là aujourd’hui c’est un médecin moldave. C’est un couple de Moldave – enfin c’est pas encore fait – mais ils devraient venir remplacer celui-là. Donc on va même pas sombrer dans le désert médical non plus, alors qu’il y a 500 habitants permanents dans la vallée. Il y en a beaucoup plus bien sûr l’été mais maintenant et jusqu’à la fin du mois de mai on est cinq ou six cents donc je pense pas que ça soit une patientèle extraordinaire, même si c’est un population extra-médicalisée bien sûr. Tout ça pour dire que la question initiale c’était quel est mon territoire?: la commune de Lozzi et la vallée du Niolu. Après oui on va livrer de la farine dans toute la Corse, ça peut nous arriver, mais c’est quand même anecdotique. On a pas mal de vente directe nous, des particuliers qui viennent acheter.  Aujourd’hui avec quatre tonnes et demi de farine on est satisfaits. On vend aussi des châtaignes fraîches, ce qu’on appelle du granulat de châtaigne à la brasserie Pietra pour faire la bière ... on a une production castanéicole stabilisée, donc on a moins besoin d’aller ... par exemple on va souvent à Bastia pour livrer la Pietra. Après y a quelques commerçants à droit à gauche, mais c’est pas quotidien. Au quotidien on est à Lozzi. 80 % de mon temps se passe sur la commune de Lozzi. L’exploitation est entièrement sur la commune de Lozzi, l’outil de travail est là donc l’essentiel du travail est là. Après en dehors de l’agriculture, on est deux dans l’agriculture, on a aussi une SARL dans laquelle on est trois, mon associé et une troisième personne, on fait de la prestation de services (élagage, taille de haies, plantation de haies, etc.) ça c’est dans toute la vallée. On sort quelques fois mais c’est assez rare, l’essentiel de notre clientèle est sur les cinq communes du canton. Donc là oui, mon territoire économique en tout cas est là à 80 %.  
7;;Ce qui définit aujourd’hui le village ... je peux le prendre sur le côté positif?: c’est la plus haute commune de Corse, on est au pied du Monte Cintu, on est à cinq minutes d’une forêt immense ... après tout ce que je dis c’est valable pour le Niolu. Le Cintu c’est Lozzi mais les autres sont pas très loin, nous on est pas très loin de la forêt, il y a un lac artificiel qui est le deuxième plus grand de Corse. Il y a toute sorte d’atouts, un potentiel agricole important que ça soit dans la châtaigne – même s’il est pas exploité – que ça soit dans l’élevage, le maraichage, et on a ... tout ça ce n’est pas mis en valeur. L’angle positif il est dans le potentiel. Après malheureusement, pour la définition aujourd’hui si je devais donner qu’un mot pour définir mon village c’est désert. Y a plus personne. Nous on est le contre-exemple absolu parce qu’on est là, on est actifs depuis longtemps, et encore quelques années, mais demain quand va se poser le problème de notre transmission, par certain qu’on trouve quelqu’un pour le faire, en tout cas localement ça m’étonnerait. Parce qu’il y a des gens qui viennent de plus loin, mais sur place y en a pas, l’agriculture elle prend un très mauvais virage, notamment avec le déploiement de l’élevage bovin, c’est n’importe quoi. C’est pas du tout ce qu’il faut faire pour développer. L’élevage ovin, caprin, baisse parce que c’est plus compliqué, il y a des concurrences industrielles sur le fromage notamment, sur la charcuterie qui ne sont pas faciles à contrecarrer, donc ... moi j’ai un jour été avec quelqu’un qui m’a dit «?toi tu es un pessimiste?actif?» mais c’est du réalisme, je ne vais pas vous raconter ... encore une fois c’est merveilleux, l’endroit où je vis c’est merveilleux, mais c’est le désert, y a pas grand monde, mais on fait pas ce qu’il faut faire. Le pouvoir public a un discours qui dit «?bien sûr que l’intérieur c’est le cœur de la Corse?» ça vaut pour chez moi, ça vaut pour toutes les autres régions mais tout ça c’est que de la façade. Et on a des gens, beaucoup de gens qui aiment beaucoup leur village, qui viennent le week-end, qui viennent pour les vacances, mais qui y vivent, comme Fabien ou Katia ce sont des contre-exemples. Ils ont pas leur activité professionnelle sur place, ils font ces trajets ... bon ils ont des emplois du temps qui leur permettent d’être assez cools avec ça, mais ils ont fait ce choix, ils ont construit leur maison là, ils vivent là avec leurs enfants, y a très peu de gens comme ça. Il y a un autre exemple, une autre famille, une personne qui est la directrice de l’école de Calacuccia, Vanina, son mari travaille aussi à Corte, il descend tous les matins à Corte, il fait le trajet tous les jours. Ils ont choisi eux aussi avec leurs enfants de vivre ici. On l’a fait nous aussi dans d’autres temps, mais c’est pas suffisante, il y’en a pas assez et on est vraiment pas assez nombreux. C’est inexplicable, moi dès fois je comprends pas, et en plus vous avez toujours des gens qui disent «?vous avez de la chance?», allez y, y a de la place.  
8;;Et l’attachement est fort.  
9;;Oui, ben l’attachement il était déjà là. Après j’aurais quand même eu cet attachement même si j’étais pas installé définitivement dans mon village?: j’aurais fait comme tout le monde si j’avais été prof de Corse à Bastia ou à Corte je serais monté le week-end et j’aurais fait comme tout le monde. Sauf que la différence c’est que c’est pas ce que j’ai fais, et surtout c’est vraiment un choix parce qu’il y a beaucoup trop de gens dans la vallée qui sont là parce qu’ils peuvent pas aller ailleurs. Eux ont pas choisi d’être là, presque ils le subissent d’être obligé de rester là, ils sont un peu pompiers volontaires, ils ont quatre vaches, mais ils font rien de bien. Après ça existe aussi des gens qui font des choses biens, il y a des jeunes bergers qui font de la mise en valeur, qui ont des beaux outils ... mais la majorité est quand même pas très dynamique notamment dans les générations qui nous suivent, ou la mienne. Des gens qui vivotent comme ça, c’est pas du tout ce que ça devrait être. On a même des fermetures de restaurants. Là il a un contre-exemple aussi car il y a un grand hôtel qui est entrain d’être rénové à Calacuccia, un ancien hôtel qui était complètement tombé en désuétude, qui a été racheté et qui est remis au goût du jour, mais c’est un exemple. À côté de ça, il y avait peut-être cinq ou six restaurants qui tournaient tout l’été, voir même à l’année et là il y en a trois de ceux-là qui ont fermés. Pourquoi alors qu’il y a de plus en plus de touristes ...?? Il y a de moins en moins de monde en hiver, mais il y a de plus en plus de monde en été?: on est un lieu de passage incroyable, c’est l’axe Bastia-Porto, il y a des centaines de milliers de gens qui passent pas Calacuccia, par la forêt, ils s’arrêtent pas parce qu’on leur propose pas grand-chose. Un peu de montagne, de kayak, mais c’est tout ce que j’ai dit tout à l’heure ... la forêt elle est pas exploitée?: quasiment pas pour le bois, pas pour le tourisme, le lac le niveau n’est jamais maintenant par EDF donc on ne peut rien faire autour, il y a très peu ... il y a une petite base nautique mais parfois vous perdez 50 mètres de berge parce que EDF s’en sert pour la production hydroélectrique. Partout ailleurs en France y a des conventions qui lient EDF aux riverains et qui font en sorte de maintenir ce niveau pour pouvoir avoir un développement autour du plan d’eau. Là on a jamais rien fait parce que c’est comme ça, les élus de l’époque ont fait pour eux, ils ont récupéré pour eux et ils ont pas fait pour le collectif et on payent encore aujourd’hui ce truc-là. Donc moi je suis obligé de dire que c’est pas reluisant.  
10;;Bah la qualité de vie ... alors à l’époque où on vit, en plus d’avoir de l’air non pollué et des paysages magnifiques, vraiment un endroit qui moi me met de bonne humeur quand je sors de chez moi, avoir la possibilité d’avoir tout le confort moderne chez soi, parce que souvent les gens ont un souvenir de la vie au village ... moi j’ai connu ça on avait pas de toilettes, j’étais enfant mais j’ai connu cette époque-là. Avant qu’il y ait des commodités chez mes grands-parents ont a attendu la fin des années 70 quoi, c’est pas le Moyen-Âge, et ça c’était dans beaucoup de maison, pas de chauffage ... c’était des maisons qui était surtout habitée l’été parce que c’était des populations transhumantes qui l’hiver étaient les plaines, le Falasorma, la Balagne, ou ailleurs en Corse et qui l’été montaient les troupeaux dans la montagne et qui s’installaient au village parce qu’il faisait moins chaud, même si y en avait qui vivait l’hiver aussi ... il y avait des cheminées, mais enfin l’accès était plus difficile, tout était plus difficile. Aujourd’hui on a de l’eau courante, on a l’électricité, même si on a des coupures assez fréquentes mais bon on a un service de déneigement, on a plus de soucis quand on est autonome. Et aujourd’hui les gens sont plus autonomes qu’avant, ils conduisaient pas ... on a tout ce qu’il faut, cette qualité de vie ... évidemment avoir accès à la culture c’est sur on peut pas décider d’aller au théâtre mais moi ce que je vois, c’est que j’imagine que les gens qui travaillent toute la journée, le soir ils vont pas se boire un coup en terrasse et se faire une pièce de théâtre dans la foulée?: ils rentrent chez eux, ils mangent et vont se coucher, parce que le lendemain matin ils recommencent à travailler. C’est ce qu’on fait chez nous, après dans les temps de loisirs, aujourd’hui j’étais à Bastia, j’ai mangé à Bastia, ce soir j’ai une répétition par ce que je parti d’un groupe. Ce que je veux dire c’est que je sors, j’ai des activités littéraires, j’ai des activités sociales de droite et de gauche. À chaque fois que j’ai le temps je vais à Corte, je vais à Bastia, je vais à Ajaccio, le reste du temps j’ai ma vie professionnelle qui m’occupe. J’ai ma vie sociale au quotidien évidemment qui est assez limité avec mon associé, la famille de mon associé, j’étais marié je ne le suis plus, je vis seul, mais ça m’empêche pas d’avoir des gens qui viennent chez moi ou d’aller les trouver quand ça m’intéresse. Donc le cadre de vie il est parfait pour moi, pour ma nature il est parfait. Après évidemment il faut pas avoir peur un peu de la solitude, il y a un peu d’isolement c’est évident et encore une fois, on a cet avantage d’avoir une pharmacie, une station-service et compagnie, mais il faut quand même être capable aussi d’aller chercher ailleurs cette vie sociale qu’on a pas forcément au village?ou qu’on a le week-end. Alors là c’est un autre problème, on se confronte à des gens du village qui sont nos amis, qu’on connaît depuis longtemps, souvent on se croise?: c’est-à-dire quand ils arrivent le vendredi et le samedi, nous on s’en va. Pendant les vacances, quand j’ai besoin de dépaysement, je me casse d’ici parce que je suis tout le temps ici. Même si j’aime beaucoup cet endroit, le samedi j’ai envie de voir d‘autres personnes, de voir d’autres endroits et on se croise comme ça. Il y a une espèce de rupture maintenant avec la diaspora ou les gens qui vivent ailleurs en Corse, c’est pas du tout la même perception. Eux ils arrivent, nous on travaille, ils ne viennent que pour les vacances. Ils conçoivent le village que pour le loisir, que pour le plaisir alors que nous c’est les deux. Parce que j’ai pas de soucis, il m’arrive aussi de sortir dans le village, dans le canton mais quand j’ai vraiment envie de m’évader je vais plus loin bien sûr. Ca rend mon cadre de vie d’autant plus agréable car quand je rentre chez moi, je laisse tout ce qui ne m’intéresse pas dans la concentration urbaine, tout ce qui me déplairait si j’habitais dans un immeuble ou même dans une maison à proximité d’une ville. Et on a aussi ... notre époque veut ... moi si j’avais pas internet, si je ne l’avais plus aujourd’hui ce serait très très difficile. Parce que ça m’ouvre ... j’ai des communications quotidiennes par exemple avec ce groupe (nom du groupe) on a un groupe WhatsApp, sur lequel on discute tous les jours?: même pour dire des bêtises, on parle des disques qu’on enregistre, des concerts qu’on va faire, on parle des concerts qu’on a écrit, on a une communication quasi quotidienne, dès fois même pour dire d’énormes conneries mais quand même. J’ai un autre groupe Messenger, alors là c’est autour de la littérature, avec qui je communique aussi quasi quotidiennement de la même façon, c’est-à-dire très sérieusement, ou pas du tout. Ça c’est des gens que je n’appellerais pas au téléphone tous les jours, tous ces gens c’est pas possible. Alors que là en quelques secondes on écrit une phrase, on regarde la réponse quand on a le temps, on a un échange continu. Alors que si y avait pas internet je n’aurais pas cet échange-là. Sans parler de l’outil que c’est bien sûr pour la connaissance et la culture.  
