;;
1;;Si, j'avais une l'opportunité de m'installer ailleurs?? Non je pense pas, si j'avais dû le faire, je l'aurais fait bien avant … Parce que vous savez, quand on a en face de nous tous les jours ce cadre (vue sur la mer), cette atmosphère de de bien-être, parce qu'il faut le dire hein, quand on voit ça on ne qu'être rêveur. Quand vous êtes ailleurs, ça vous manque. Donc le cadre de vie, c'est un des facteurs … 
2;;Alors oui, professionnellement parlant, effectivement je suis sur la commune de Grosseto-Prugna donc Porticcio, la majorité de mon temps, professionnellement parlant. Ensuite, bien sûr, mon habitation principale est à Ajaccio et j’ai une résidence secondaire à Olmeto plage plus exactement.  
3;;Oui, bien sûr. Bien sûr, j'y suis attaché parce que j’ai passé maintenant quand même plus de la moitié de ma vie ici quand même donc j'ai créé des liens, des liens d'amitié, des liens de relationnels au niveau clientèle. Voilà, donc je me sens effectivement … je fais partie je dirais de la vie active de Porticcio, donc je me sens quelque part ancré ici et je m'intéresse aussi, malgré que je ne sois pas de de la commune, je m'intéresse beaucoup au développement de Porticcio. Si je peux, moi, de mon côté, apporter une pierre à l'édifice qui est construit, je l’emmène quoi.  
4;;Sentimentale, oui, effectivement, parce que c'est là où je suis né, j’ai cette attache-là qui est une attache sentimentale surtout quoi et Porticcio fait partie aussi de ma vie, donc ça serait mentir de ne pas dire que c'est le sentimental aussi. Voilà, donc si je viens ici parce que j'ai mon travail ici, mais je viens avec le sourire, non pas parce que je vais faire des affaires.  
5;;Oui c’est clair que vous avez un cadre de travail assez magique.  
6;;Voilà on pourrait pas dire l'inverse. Ça serait difficile de dire non, mais je viens par force, personne ne comprendrait là si on voit ça. Vous savez moi j'ai des clients qui viennent, qui disent «?c’est bien, vous êtes toujours souriant, vous êtes toujours de bonne humeur. Et vous savez, on a quand même la majorité de notre temps, on a du soleil, et ça influe beaucoup quelque part. ?Le fait d’avoir du soleil, ça nous permet d'être là … c'est comme quelqu'un, quand le printemps arrive, on commence à respirer, on sort de l'hiver mais nous on a ça tout le temps. Après bien entendu, le développement économique, aussi bien de la ville, que de Porticcio,?fait que parfois ça grince un peu des dents parce qu’il y a un tel déferlement de béton, qui se fait maintenant en peu de temps, qui est quand même très préjudiciable. 
7;;Alors Porticcio, avant tout, à chaque fois que je parle de Porticcio, et non pas des commerces, Je parle de Porticcio en tant que «?petite ville?» ben c'est la plage, la mer, le soleil, les vacances. Ce côté, je dirais balnéaire, en fait Porticcio c’est une station balnéaire malgré tout, même si elle est en face de la ville. C'est une station balnéaire d'ailleurs que beaucoup de touristes connaissent et apprécient surtout, parce que moi j'ai des clients de 30 ans, mais bon des fois plus, qui étaient là bien avant moi aussi, qui reviennent chaque année?: entre ceux qui s'y sont installés, ceux qui prennent des locations. Je veux dire, Porticcio a un attrait parce que justement, on a cette chance d'avoir cette géographie, ce littoral qui nous permet d’y être bien.? 
8;;C'est important pour vous la question de l'identité justement ??  Oui, pour plein de raisons, parce que effectivement, quand vous êtes né quelque part, c'est votre terre, c'est vous. Maintenant que quelqu'un vienne, qu’il s'y installe et qu’il comprenne le fonctionnement de notre île, parce que quelque part, on a notre manière de fonctionner, et qui est saine. Vous voyez ce que je veux dire?? Notre culture elle est saine. Pourquoi beaucoup de gens viennent s'installer en Corse?? parce qu’on a encore cette éducation, cet enracinent qui fait que... Le reste du monde l’a perdu. Du moins d’autres pays, parce que je n’ai pas la prétention de tout connaître non plus, mais ce que je veux dire, ce côté … voilà, on est là, on ne peut que l'aimer ma Corse, et la défendre, peu importe qui vient, qui s'installe, à un moment donné, il va se sentir Corse, de fait, il est Corse.  
9;;Donc pour vous, il y a pas besoin d'être né en Corse?? , Nous, on a notre culture, on a grandi avec. Nos anciens nous ont appris plein de choses, on essaie de les inculquer à nos enfants qui j'espère, eux, transmettront au leur. Vous voyez ce que veut dire ? Quand on vient d’ailleurs, on est obligé d'apprendre. Apprendre la culture, apprendre pourquoi … 
10;;Transmettre la culture, oui quand même, mais accueillir les autres tout en n'étant pas fermé sur le monde??  
