Id_Interview,Thème,Interview,text-translated,Text-translated,Processed_Text,Topic,Topic_Name,Theme
1,Remarques,Une forte influence de lactualité dans le choix des critères,,A strong influence of current events in the choice of criteria,strong influence current event choice criterion,4,criterion place experience live choice life little housing feel play,Education
2,Remarques,"Dautres critères ont été cités même si pas classé, notamment la question de la mobilité douce (qui nest pas présente à Ajaccio et qui pourtant sa non-présence dégrade la qualité de vie), la transparence et laccès à linformation (mais a regroupé avec laccès au réseau) ",,"Other criteria were cited even if not classified, in particular the question of soft mobility (which is not present in Ajaccio and yet its non-presence degrades the quality of life), transparency and access to transport. information (but grouped with network access)",criterion cited even classified particular question soft mobility present ajaccio yet degrades quality life transparency access transport information grouped network access,5,participant question child corsica car make activity ask situation fact,Education
3,Remarques,Une des participantes a grandi au village et voulait absolument habiter en ville car elle a souffert du manque de proximité géographique avec tous les services quoffre la ville  ,,One of the participants grew up in the village and absolutely wanted to live in the city because she suffered from the lack of geographical proximity to all the services offered by the city.,one participant grew village absolutely wanted live city suffered lack geographical proximity service offered city,3,city absolutely participant village live geographical wanted proximity service important,Education
4,Seécurité,Peu impactés en Corse même si certains quartiers y sont sujets et que cest de plus en plus développé ,,Little impacted in Corsica even if certain neighborhoods are subject to it and it is increasingly developed,little impacted corsica even certain neighborhood subject increasingly developed,7,city importance life paris neighborhood increasingly future year want family,Education
5,Seécurité,"Cest un critère déterminant dans le choix de lhabitation car cela peut nuire à la qualité de vie?: «?Cest quelque chose sur lequel je pourrais choisir mon logement, voire mon lieu de résidence?»?, «?Moi jaurais pas fait un choix de vie dans un endroit où je me sentirais pas en sécurité, ça cest clair?»  ",,"This is a determining criterion in the choice of housing because it can harm the quality of life: “It is something on which I could choose my housing, or even my place of residence?”, “? I wouldn’t have made a life choice in a place where I wouldn’t feel safe, is that clear?”",determining criterion choice housing harm quality life something could choose housing even place residence made life choice place feel safe clear,4,criterion place experience live choice life little housing feel play,Education
6,Sécurité,Critère qui fait partie de la base de la pyramide de Maslow,,Criterion which is part of the base of Maslow's pyramid,criterion part base maslow pyramid,6,criterion network place village better pyramid certain child transport come,Education
7,Sécurité,"Avoir vécu en dehors de la Corse a fait se rendre compte à beaucoup des participants du climat sécuritaire quil existe en Corse?: «?Quand jétais à Nice, je me suis fais prendre mon sac dans la voiture, en car-jacking, et là je me suis rendue compte quà Ajaccio je circule jamais en ayant la voiture fermée, verrouillée?[] je me pose pas du tout la question de la sécurité »",,"Having lived outside Corsica made many of the participants realize the security climate that exists in Corsica: “When I was in Nice, I had my bag taken from the car, on the bus. jacking, and then I realized that in Ajaccio I never drive with the car closed or locked? [] I don't ask myself the question of security at all""",lived outside corsica made many participant realize security climate exists corsica nice bag taken car bus jacking realized ajaccio never drive car closed locked ask question security,5,participant question child corsica car make activity ask situation fact,Education
8,Sécurité,"Plusieurs participants constatent en revanche que ce climat sécuritaire se dégrade, même en ayant pas forcément eu de mauvaises expériences mais en écoutant leur entourage, et en se projetant sur du long terme, mais aussi pour une participante plus âgée qui fait la remarque que comparé à ce quelle a connu avant, cela sest beaucoup dégradé.",,"Several participants note, however, that this security climate is deteriorating, even though they have not necessarily had bad experiences but by listening to those around them, and by planning for the long term, but also for an older participant who remarks that compared to what she knew before has deteriorated a lot.",several participant note however security climate deteriorating even though necessarily bad experience listening around planning long term also older participant remark compared knew deteriorated lot,8,participant important choice ajaccio access climate village going choose lot,Education
9,Sécurité,"La localisation du logement joue beaucoup dans ce critère?: «?vous vous êtes centraux sur la ville, dans un endroit super sécurisé mais si tu commences à sortir un petit peu ... sur les périphéries ça devient un peu comme sur le continent?»?, «?En fonction du lieu de vie, en fonction doù on habite à Ajaccio on le ressent plus ou moins?»  ",,"The location of the accommodation plays a lot in this criterion: “you are central to the city, in a super secure place but if you start to go out a little... on the outskirts it becomes a bit like on the continent? »?, “Depending on where we live, depending on where we live in Ajaccio, do we feel it more or less?”",location accommodation play lot criterion central city super secure place start go little outskirt becomes bit like continent depending live depending live ajaccio feel le,4,criterion place experience live choice life little housing feel play,Education
10,Sécurité,"Les critères «?acquis?» ne viennent pas instinctivement dans le choix lors de la construction de la pyramide?: «?Je me sens vraiment en sécurité donc ça ma pas effleuré de le mettre?»?, «?On la pas mis parce que pour nous cétait une évidence quà Ajaccio cétait super secure?»   ",,"The “acquired” criteria do not come instinctively to the choice when building the pyramid: ""I feel really safe so it didn't occur to me to put it on?"", ""We didn't put it on because for us Was it obvious that in Ajaccio it was super secure?",acquired criterion come instinctively choice building pyramid feel really safe occur put put u obvious ajaccio super secure,6,criterion network place village better pyramid certain child transport come,Education
11,Sallubrité,"Si tu as pas ça tu manges pas bien, tu ne peux pas profiter des espaces verts  ",,"If you don't have that, you don't eat well, you can't enjoy green spaces",eat well ca enjoy green space,9,natural space proximity child good problem lived school able center,natural resources
12,Sallubrité,Les problèmes de pollution de leau sont importants car peuvent impacter laccès à leau potable et donc la qualité de vie  ,,Water pollution problems are important because they can impact access to drinking water and therefore quality of life.,water pollution problem important impact access drinking water therefore quality life,9,natural space proximity child good problem lived school able center,natural resources
13,Pollution air,"Un meilleur réseau de transports en commun, avec des P+R permettrait que les gens naillent pas dans le centre-ville en voiture et donc moins de pollution de lair.",,"A better public transport network, with P+R, would prevent people from going to the city center by car and therefore reduce air pollution.",better public transport network would prevent people going city center car therefore reduce air pollution,6,criterion network place village better pyramid certain child transport come,Education
14,Réseau et télécom,À Ajaccio pas trop de zones blanches mais y a des endroits où y a encore une très mauvaise couverture du réseau.,,In Ajaccio not too many white areas but there are places where there is still very poor network coverage.,ajaccio many white area place still poor network coverage,0,important quality life area ajaccio network question big territory place,Education
15,Réseau et télécom,Plusieurs participants sont en télétravail à temps plein donc cest absolument nécessaire davoir une bonne connexion réseau ,,Many participants are teleworking full-time so it is absolutely necessary to have a good network connection,many participant teleworking absolutely necessary good network connection,5,participant question child corsica car make activity ask situation fact,Education
16,Réseau et télécom,"Un critère qui peut contraindre un lieu de vie «?Pendant le covid, là avec les enfants, jaurais été mieux au village, mais comme je travaillais via le télétravail, je nai pas pu aller au village?» => quand le réseau nest pas suffisant ça empêche la possibilité de vivre dans certains endroits.",,"A criterion that can constrain a place to live “During covid, there with the children, I would have been better off in the village, but as I worked remotely, I was not able to go to the village?” => when the network is not sufficient it prevents the possibility of living in certain places.",criterion constrain place live covid child would better village worked remotely able go village network sufficient prevents possibility living certain place,6,criterion network place village better pyramid certain child transport come,Education
17,Condition météo,Nest pas forcément concerné mais sest projeté en dehors de son territoire de vie pour simaginer sil pourrait vivre là et les conditions météos étaient importantes dans cette projection  ,,Is not necessarily concerned but projected himself outside his living territory to imagine if he could live there and the weather conditions were important in this projection,necessarily concerned projected outside living territory imagine could live weather condition important projection,2,live living anonymity urban ajaccio lived important able little outside,Education
18,Condition météo,"Même si ce nest pas un territoire particulièrement concerné par les catastrophes naturelles, ce nest pas impossible que ça arrive (proximité de la mer) et il y a déjà eu des tempêtes, des tornades.",,"Even if it is not an area particularly affected by natural disasters, it is not impossible for it to happen (proximity to the sea) and there have already been storms and tornadoes.",even area particularly affected natural disaster impossible happen proximity sea already storm tornado,9,natural space proximity child good problem lived school able center,natural resources
19,Condition météo,Un critère qui pourrait être de plus en plus important dans lavenir avec le changement climatique et des endroits dans la ville qui avant nétaient pas inondables mais avec la bétonnisation le sont devenus.,,A criterion that could be increasingly important in the future with climate change and places in the city that were not previously floodable but have become so with concreting.,criterion could increasingly important future climate change place city previously floodable become concreting,7,city importance life paris neighborhood increasingly future year want family,Education
20,Condition météo,"Si des problématiques trop intenses se posent dans lavenir, un des participants nhésiterait pas à déménager «?sil fait 50 degrés, 300 jours par an, si jai les moyens je bouge?» => question dacceptabilité de la situation jusquà une certaine limite.",,"If too intense problems arise in the future, one of the participants would not hesitate to move ""if it's 50 degrees, 300 days a year, if I have the means I'll move."" => question of acceptability of the situation up to a certain limit.",intense problem arise future one participant would hesitate move degree day year mean move question acceptability situation certain limit,5,participant question child corsica car make activity ask situation fact,Education
21,Pollution sonore,Aussi une projection car nest pas concerné mais cest en discutant avec quelquun qui vit au-dessus dune boite de nuit quil sest rendu compte que vivre dans un endroit calme cest important (tirer du parti du vécu dautres personnes) ,,Also a projection because he is not concerned but it was while talking with someone who lives above a nightclub that he realized that living in a quiet place is important (shoot part of the experiences of other people),also projection concerned talking someone life nightclub realized living quiet place important shoot part experience people,1,people living important life realized opportunity urban place concerned projection,Education
22,Qualité logement,Importance de lexpérience vécue?: «?jai passé cinq ans dans 18m2 à Paris donc quand je suis rentré cest ça que je voulais?: la famille et la qualité du logement?»? ,,Importance of lived experience: “I spent five years in 18m2 in Paris so when I came back that’s what I wanted: family and quality housing”?,importance lived experience spent five year paris came back wanted family quality housing,7,city importance life paris neighborhood increasingly future year want family,Education
23,Qualité logement,"Pareil pour une autre participante qui a aussi vécu à Paris et qui recherchait à retrouver cette centralité dhabiter en centre-ville car une forte proximité avec les services (notamment pouvoir emmener ses enfants à lécole à pied), commerces et la culture?(cinéma, musées).",,"The same for another participant who also lived in Paris and who was looking to rediscover the centrality of living in the city center because of close proximity to services (notably being able to take her children to school on foot), shops and culture ?(cinema, museums).",another participant also lived paris looking rediscover centrality living city center close proximity service notably able take child school foot shop culture cinema museum,9,natural space proximity child good problem lived school able center,natural resources
24,Qualité logement,"Un participant évoque le fait de faire le choix de rester en Corse, et en parle comme un acte relevant presque du militantisme.",,"A participant mentions the fact of choosing to stay in Corsica, and speaks of it as an act almost relating to activism.",participant mention fact choosing stay corsica speaks act almost relating activism,5,participant question child corsica car make activity ask situation fact,Education
25,Qualité logement,"Grande importance de la vie en communauté, même en ville?: volonté de vouloir reproduire en quelque sorte la vie de village au sein dun quartier, avait besoin de quelque chose à dimension humaine, connaître les gens et avoir ses habitudes.Cest quelque chose quil a eu du mal à retrouver dans dautres grandes villes (notamment Paris) et à Ajaccio il a pu retrouver des «?mini-communautés?»  ",,"Great importance of community life, even in the city?: desire to want to somehow reproduce village life within a neighborhood, needed something on a human scale, to know the people and have their habits.C is something that he had difficulty finding in other large cities (notably Paris) and in Ajaccio he was able to find “mini-communities?”",great importance community life even city desire want somehow reproduce village life within neighborhood needed something human scale know people something difficulty finding large city notably paris ajaccio able find,7,city importance life paris neighborhood increasingly future year want family,Education
26,Qualité logement,"Pas sur une recherche de lanonymat comme on pourrait le penser mais dun côté sil habitait dans un village il rechercherait peut-être lanonymat?: «?vivre à Ajaccio cest une espèce dentre-deux qui est assez agréable parce que je vis en ville, je suis capable davoir ce côté urbain et dynamique ici, tout en gardant un pied dans quelque chose qui est un peu plus à échelle humaine?» ",,"Not on a search for anonymity as one might think but on the one hand if he lived in a village he would perhaps seek anonymity: “living in Ajaccio is a kind of in-between which is quite pleasant because I live in the city, I am able to have this urban and dynamic side here, while keeping one foot in something which is a little more on a human scale?",search anonymity one might think one hand lived village would perhaps seek anonymity living ajaccio kind quite pleasant live city able urban dynamic side keeping one foot something little human scale,2,live living anonymity urban ajaccio lived important able little outside,Education
