Id_Interview,Thème,Interview,text-translated,Text-translated,score-sentiment analysis,theme-predicted,similarity-score
1,Remarques,Une forte influence de lactualité dans le choix des critères,,A strong influence of current events in the choice of criteria,"{'negative': 0.053105853, 'neutral': 0.88557994, 'positive': 0.06131431}",Religious commitment,81.75489044189453
2,Remarques,"Dautres critères ont été cités même si pas classé, notamment la question de la mobilité douce (qui nest pas présente à Ajaccio et qui pourtant sa non-présence dégrade la qualité de vie), la transparence et laccès à linformation (mais a regroupé avec laccès au réseau) ",,"Other criteria were cited even if not classified, in particular the question of soft mobility (which is not present in Ajaccio and yet its non-presence degrades the quality of life), transparency and access to transport. information (but grouped with network access)","{'negative': 0.414551, 'neutral': 0.52100253, 'positive': 0.064446464}",Security,80.8680419921875
3,Remarques,Une des participantes a grandi au village et voulait absolument habiter en ville car elle a souffert du manque de proximité géographique avec tous les services quoffre la ville  ,,One of the participants grew up in the village and absolutely wanted to live in the city because she suffered from the lack of geographical proximity to all the services offered by the city.,"{'negative': 0.3251786, 'neutral': 0.5025209, 'positive': 0.17230046}",Community,79.03913116455078
4,Seécurité,Peu impactés en Corse même si certains quartiers y sont sujets et que cest de plus en plus développé ,,Little impacted in Corsica even if certain neighborhoods are subject to it and it is increasingly developed,"{'negative': 0.04272874, 'neutral': 0.7760757, 'positive': 0.18119556}",Community,80.08255767822266
5,Seécurité,"Cest un critère déterminant dans le choix de lhabitation car cela peut nuire à la qualité de vie?: «?Cest quelque chose sur lequel je pourrais choisir mon logement, voire mon lieu de résidence?»?, «?Moi jaurais pas fait un choix de vie dans un endroit où je me sentirais pas en sécurité, ça cest clair?»  ",,"This is a determining criterion in the choice of housing because it can harm the quality of life: “It is something on which I could choose my housing, or even my place of residence?”, “? I wouldn’t have made a life choice in a place where I wouldn’t feel safe, is that clear?”","{'negative': 0.7646791, 'neutral': 0.2213814, 'positive': 0.013939547}",Health,81.19580841064453
6,Sécurité,Critère qui fait partie de la base de la pyramide de Maslow,,Criterion which is part of the base of Maslow's pyramid,"{'negative': 0.10933923, 'neutral': 0.8659872, 'positive': 0.024673594}",Religious commitment,78.53321075439453
7,Sécurité,"Avoir vécu en dehors de la Corse a fait se rendre compte à beaucoup des participants du climat sécuritaire quil existe en Corse?: «?Quand jétais à Nice, je me suis fais prendre mon sac dans la voiture, en car-jacking, et là je me suis rendue compte quà Ajaccio je circule jamais en ayant la voiture fermée, verrouillée?[] je me pose pas du tout la question de la sécurité »",,"Having lived outside Corsica made many of the participants realize the security climate that exists in Corsica: “When I was in Nice, I had my bag taken from the car, on the bus. jacking, and then I realized that in Ajaccio I never drive with the car closed or locked? [] I don't ask myself the question of security at all""","{'negative': 0.22814037, 'neutral': 0.61527926, 'positive': 0.15658036}",Security,83.76990509033203
8,Sécurité,"Plusieurs participants constatent en revanche que ce climat sécuritaire se dégrade, même en ayant pas forcément eu de mauvaises expériences mais en écoutant leur entourage, et en se projetant sur du long terme, mais aussi pour une participante plus âgée qui fait la remarque que comparé à ce quelle a connu avant, cela sest beaucoup dégradé.",,"Several participants note, however, that this security climate is deteriorating, even though they have not necessarily had bad experiences but by listening to those around them, and by planning for the long term, but also for an older participant who remarks that compared to what she knew before has deteriorated a lot.","{'negative': 0.68225616, 'neutral': 0.29765117, 'positive': 0.020092627}",Security,80.79508209228516
9,Sécurité,"La localisation du logement joue beaucoup dans ce critère?: «?vous vous êtes centraux sur la ville, dans un endroit super sécurisé mais si tu commences à sortir un petit peu ... sur les périphéries ça devient un peu comme sur le continent?»?, «?En fonction du lieu de vie, en fonction doù on habite à Ajaccio on le ressent plus ou moins?»  ",,"The location of the accommodation plays a lot in this criterion: “you are central to the city, in a super secure place but if you start to go out a little... on the outskirts it becomes a bit like on the continent? »?, “Depending on where we live, depending on where we live in Ajaccio, do we feel it more or less?”","{'negative': 0.110056005, 'neutral': 0.7991846, 'positive': 0.09075938}",Accomodation,83.17205047607422
10,Sécurité,"Les critères «?acquis?» ne viennent pas instinctivement dans le choix lors de la construction de la pyramide?: «?Je me sens vraiment en sécurité donc ça ma pas effleuré de le mettre?»?, «?On la pas mis parce que pour nous cétait une évidence quà Ajaccio cétait super secure?»   ",,"The “acquired” criteria do not come instinctively to the choice when building the pyramid: ""I feel really safe so it didn't occur to me to put it on?"", ""We didn't put it on because for us Was it obvious that in Ajaccio it was super secure?","{'negative': 0.29046404, 'neutral': 0.6216195, 'positive': 0.087916486}",Security,83.14086151123047
