Id_Interview,Thème,Interview,Text-translated,score-sentiment analysis,theme-predicted,similarity-score
1,Diversité et proximité des commerces ,"il en manque mais on en a beaucoup aussi. Le plus important, la relation avec les gens. Un gros manque?: pharmacie. La plus proche est à 30km?: Sainte Marie. Accessibilité aux personnes à mobilité réduite (personnes âgées, handicaps). le plus important?: épiceries. Le supermarché le plus près = Ajaccio. Santé (médecin, kiné). Pompiers aussi cest important.  ","there is a lack of it but we also have a lot of it. The most important thing, the relationship with people. A big lack?: pharmacy. The closest is 30km away: Sainte Marie. Accessibility for people with reduced mobility (elderly people, disabilities). the most important?: grocery stores. The nearest supermarket = Ajaccio. Health (doctor, physiotherapist). Firefighters are also important.","{'negative': 0.2171775, 'neutral': 0.5686561, 'positive': 0.2141664}",Health,83.60250091552734
2,Conditions météo et catastrophes naturelles ,"de plus en plus, pluie et vent. Impacte sur les appareils (ordinateurs, téléphone), ruptures dans énergie. Sécheresse lété. village?: dépendance / isolement. «?si on a un problème pour réparer, il faut quils montent dAjaccio?». peut-être aussi la galère pour circuler à cause de la neige.","more and more, rain and wind. Impacts on devices (computers, telephone), disruptions in energy. Drought in summer. village?: dependency / isolation. “If we have a problem to repair, they have to come from Ajaccio.” maybe it's also difficult to get around because of the snow.","{'negative': 0.7501484, 'neutral': 0.23019633, 'positive': 0.019655267}",Community,82.71676635742188
3,Environnement,Pas assez de contenères pour faire le tri. Importance de Gaston (employé communal qui nettoie le village). Permet de que le village soit tout le temps propre.  ,Not enough containers to sort. Importance of Gaston (municipal employee who cleans the village). Allows the village to be clean all the time.,"{'negative': 0.10758513, 'neutral': 0.5057305, 'positive': 0.38668436}",Security,81.6319351196289
4,Espace Rencontre,"important den avoir dans le rural. On en a?: centre aéré, médiathèque, musée, crèche, les bars, les supermarchés, le CINTU (espace de loisir et de travail). Vie de village et proximité. «?Le platane, où tout le monde se rencontre?» avec un banc, au centre du village.  ","important to have in rural areas. We have them: leisure center, media library, museum, nursery, bars, supermarkets, CINTU (leisure and work space). Village life and proximity. “The plane tree, where everyone meets?” with a bench, in the center of the village.","{'negative': 0.012259796, 'neutral': 0.46587908, 'positive': 0.52186114}",Cultural resources,83.21940612792969
5,Réseau,"On a la VDSL, cest presque du haut débit. Si on avait la fibre, ce serait mieux. Rien que pour faire nos ateliers, pour faire les papiers, les impôts, pour les prises de rendez-vous pour lécole, les cours en visio, le travail. Faire les courses par internet.","We have VDSL, it’s almost broadband. If we had fiber, it would be better. Just to do our workshops, to do the paperwork, the taxes, to make appointments for school, video lessons, work. Shopping online.","{'negative': 0.27177483, 'neutral': 0.46738383, 'positive': 0.26084137}",Services,81.51470184326172
6,Environnement,"fleuve souvent ocnsidéré comme pollué, parce que stations dépuration ne sont pas aux normes, ne fonctionnent pas. Interdiction à la baignade tous les étés. Propreté des lieux, on aimerait que notre rivière soit propre. + environnement pollué. Tout le monde boit leau du robinet ici. cest important aussi pour la santé. Cozzano?: le réseau deau et le bassin deau a été refait. Leau, tout le monde la boit. + les fontaines. «?il faut que ça reste ça?»","river often considered polluted, because treatment plants are not up to standard and do not work. Swimming is prohibited every summer. Cleanliness of the place, we would like our river to be clean. + polluted environment. Everyone drinks tap water here. it is also important for health. Cozzano?: the water network and the water basin have been redone. Everyone drinks water. + the fountains. “It has to stay that way?”","{'negative': 0.54884696, 'neutral': 0.3757939, 'positive': 0.07535911}",Health,82.27371215820312
7,Environnement,"A Cozzano, on produit plus quon ne consomme. Fierté. Energie renouvelable. On peut être fier de tout ce qui a été fait. «?on sort du lot?». ","In Cozzano, we produce more than we consume. Pride. Renewable energy. We can be proud of everything that has been done. “We stand out from the crowd.”","{'negative': 0.002186978, 'neutral': 0.06764358, 'positive': 0.9301694}",Community,81.9177474975586
8,Relation de voisinage et vie de quartier,on se connait tous. Nécessité de maintenir des bonnes relations.  ,we all know each other. Need to maintain good relationships.,"{'negative': 0.013969959, 'neutral': 0.32834405, 'positive': 0.65768594}",Community,84.24923706054688
9,Proximité commerce,"pas à fond, parce quil en manque. Il pourrait y avoir une maison de retraite, une pharmacie plus y en a, mieux cest. Un car de transport pour aller à Ajaccio. Avant, on avait un car qui descendait jusquà Ajaccio. La personne est décédée, il ny a pas eu de reprise pour le moment. On a des gites. Si y en avait plus, ce serait mieux. Il ny en a pas beaucoup. Dautres spécialistes, une maison de santé, ce serait chouette. Cest prévu. «?Mais qui est le médecin qui va vouloir monter ici???»  ","not thoroughly, because it is lacking. There could be a retirement home, a pharmacy... the more the better. A transport bus to go to Ajaccio. Before, we had a bus that went down to Ajaccio. The person died, there has been no recovery for the moment. We have lodges. If there were more, it would be better. There aren't many. Other specialists, a health center, that would be great. It's planned. “But who is the doctor who will want to come up here???”","{'negative': 0.25699988, 'neutral': 0.47854927, 'positive': 0.26445085}",Health,82.2885513305664
10,Météo,"Plutôt négatif, tout le monde. Mais est-ce quon en souffre?? oui mais quand le réseau part, il part pour 6 mois. Ou bien quand la route est inondée, tu as les pieds trempés. Ou quand il neige, on nest pas tout le temps déneigé. On appelle ça une pelle à main, hein Alex. Une différence selon où on habite. Ils déneigent les secours. Oui mais pour ceux qui veulent aller faire les courses. Après, on na pas de grosses inondations. On a des éboulements. Peut-être des lieux pas sécurisés. ","Pretty negative, everyone. But do we suffer from it? yes but when the network leaves, it leaves for 6 months. Or when the road is flooded, your feet are soaked. Or when it snows, we're not always cleared of snow. We call it a hand shovel, eh Alex. A difference depending on where you live. They are clearing snow for the emergency services. Yes, but for those who want to go shopping. Afterwards, we don't have any big floods. We have landslides. Perhaps unsecured places.","{'negative': 0.5232107, 'neutral': 0.40161732, 'positive': 0.07517201}",Natural resources,80.32353973388672
